Who do you defer to most on AI timelines?,Who do you defer to second-most on AI timelines?,Who do you defer to third-most on AI timelines?
Group,Group,Self
Ajeya Cotra,Daniel Kokotajlo,
Ajeya Cotra,Unidentifiable,Quintin Pope
Ajeya Cotra,Daniel Kokotajlo,Self
Ajeya Cotra,Ben Garfinkel,Daniel Kokotajlo
Ajeya Cotra,Daniel Kokotajlo,Self
Ajeya Cotra,Daniel Kokotajlo,
Ajeya Cotra,Daniel Kokotajlo,
Ajeya Cotra,Daniel Kokotajlo,
Ajeya Cotra,David Field,
Ajeya Cotra,Eliezer Yudkowsky,Self
Ajeya Cotra,Eliezer Yudkowsky,Paul Cristiano
Ajeya Cotra,Eliezer Yudkowsky,
Ajeya Cotra,Holden Karnofsky,Self
Ajeya Cotra,Holden Karnofsky,Paul Cristiano
Ajeya Cotra,Holden Karnofsky,Rohin Shah
Ajeya Cotra,Holden Karnofsky,Linch Zhang
Ajeya Cotra,Holden Karnofsky,Self
Ajeya Cotra,Joseph Carlsmith,Group
Ajeya Cotra,Paul Cristiano,Daniel Kokotajlo
Ajeya Cotra,Paul Cristiano,Daniel Kokotajlo
Ajeya Cotra,Rohin Shah,Self
Ajeya Cotra,Samotsvety,Self
Ajeya Cotra,Will MacAskill,Eliezer Yudkowsky
Ajeya Cotra,Samotsvety,
Ben Garfinkel,Jonas Schuett,Self
Bioanchors,,
Group,Daniel Kokotajlo,Ajeya Cotra
Connor Leahy,Daniel Kokotajlo,Group
Daniel Kokotajlo,Ajeya Cotra,Self
Daniel Kokotajlo,Ajeya Cotra,Self
EA posts,Scott Alexander,porby (LessWrong)
Eliezer Yudkowsky,Ajeya Cotra,Self
Eliezer Yudkowsky,Paul Cristiano,Self
Gwern,Paul Cristiano,Daniel Kokotajlo
Gwern,Eliezer Yudkowsky,Self
Holden Karnofsky,Ajeya Cotra,Howie
Holden Karnofsky,Ajeya Cotra,Self
Holden Karnofsky,Ajeya Cotra,Eliezer Yudkowsky
Holden Karnofsky,Ajeya Cotra,Joseph Carlsmith
Holden Karnofsky,Ajeya Cotra,Katja Grace
Group,Buck Shlegeris,Alex Lawsen
,Self,
,,
Inside view,Ajeya Cotra,MIRI
Inside view,Daniel Kokotajlo,Metaculus
Inside view,,
Jan Brauner,Holden Karnofsky,Eliezer Yudkowsky
Joseph Carlsmith,Ajeya Cotra,Metaculus
Kelsey Piper,Holden Karnofsky,Rob Wiblin
Ray Kurzweil,Sam Altman,Ilya Sutskever
Self,Ajeya Cotra,Buck Shlegeris
Self,Ajeya Cotra,Daniel Kokotajlo
Self,Ajeya Cotra,Eliezer Yudkowsky
Self,Ajeya Cotra,Metaculus
Self,Ajeya Cotra,Metaculus
Self,Ajeya Cotra,Rohin Shah
Self,Ajeya Cotra,Siméon Campos
Self,Ajeya Cotra,
Self,Ajeya Cotra,Paul Cristiano
Self,Daniel Kokotajlo,Ajeya Cotra
Self,Daniel Kokotajlo,Ajeya Cotra
Self,Group,Daniel Kokotajlo
Self,Jan Kulveit,MIRI
Self,MIRI,DeepMind
Self,nostalgebraist (LessWrong),
Self,Oliver Habryka,Eliezer Yudkowsky
Self,Paul Cristiano,Bioanchors
Self,Paul Cristiano,Buck Shlegeris
Self,Paul Cristiano,
Self,,
Self,,
Self,,
Self,,
Self,,
Self,,
Metaculus,Group,Self
Inside view,Eliezer Yudkowsky,
Nick Bostrom,Gary Marcus,Eliezer Yudkowsky
,Group,Self
Open Philanthropy,Self,Metaculus
Paul Cristiano,Daniel Kokotajlo,
Paul Cristiano,Jared Kaplan,Self
Paul Cristiano,Self,
Bioanchors,Self,Tom Davidson
Robert Miles,Ajeya Cotra,
Robin Hanson,Katja Grace,
Samotsvety,Paul Cristiano,Neel Nanda
MIRI,Self,
Katja Grace,Ajeya Cotra,Miles Brundage
