Who do you defer to most on AI timelines?,Who do you defer to second-most on AI timelines?,Who do you defer to third-most on AI timelines?
Kyle McDonell,Ajeya Cotra,Inside view
Ajeya Cotra,Daniel Kokotajlo,
Ajeya Cotra,,Quintin Pope
Ajeya Cotra,Daniel Kokotajlo,Inside view
Ajeya Cotra,Ben Garfinkel,Daniel Kokotajlo
Ajeya Cotra,Daniel Kokotajlo,Inside view
Ajeya Cotra,Daniel Kokotajlo,
Ajeya Cotra,Daniel Kokotajlo,
Ajeya Cotra,Daniel Kokotajlo,
Ajeya Cotra,David Field,
Ajeya Cotra,Eliezer Yudkowsky,Inside view
Ajeya Cotra,Eliezer Yudkowsky,Paul Christiano
Ajeya Cotra,Eliezer Yudkowsky,
Ajeya Cotra,Holden Karnofsky,Inside view
Ajeya Cotra,Holden Karnofsky,Paul Christiano
Ajeya Cotra,Holden Karnofsky,Rohin Shah
Ajeya Cotra,Holden Karnofsky,Linch Zhang
Ajeya Cotra,Holden Karnofsky,Inside view
Ajeya Cotra,Joseph Carlsmith,Vague group of AI x-risk folk
Ajeya Cotra,Paul Christiano,Daniel Kokotajlo
Ajeya Cotra,Paul Christiano,Daniel Kokotajlo
Ajeya Cotra,Rohin Shah,Inside view
Ajeya Cotra,Samotsvety,Inside view
Ajeya Cotra,Will MacAskill,Eliezer Yudkowsky
Ajeya Cotra,Samotsvety,
Ben Garfinkel,Jonas Schuett,Inside view
Bioanchors,,
Metaculus,Daniel Kokotajlo,Ajeya Cotra
Connor Leahy,Daniel Kokotajlo,Inside view
Daniel Kokotajlo,Ajeya Cotra,Inside view
Daniel Kokotajlo,Ajeya Cotra,Inside view
Vague group of AI x-risk folk,Scott Alexander,porby (LessWrong)
Eliezer Yudkowsky,Ajeya Cotra,Inside view
Eliezer Yudkowsky,Paul Christiano,Inside view
Gwern,Paul Christiano,Daniel Kokotajlo
Gwern,Eliezer Yudkowsky,Inside view
Holden Karnofsky,Ajeya Cotra,Howie
Holden Karnofsky,Ajeya Cotra,Inside view
Holden Karnofsky,Ajeya Cotra,Eliezer Yudkowsky
Holden Karnofsky,Ajeya Cotra,Joseph Carlsmith
Holden Karnofsky,Ajeya Cotra,Grace et al. AI expert survey
Ajeya Cotra and Holden Karnofsky ,Buck Shlegeris,Alex Lawsen
,Inside view,
,,
Inside view,Ajeya Cotra,MIRI
Inside view,Daniel Kokotajlo,Metaculus
Inside view,,
Jan Brauner,Holden Karnofsky,Eliezer Yudkowsky
Joseph Carlsmith,Ajeya Cotra,Metaculus
Kelsey Piper,Holden Karnofsky,Rob Wiblin
Ray Kurzweil,Sam Altman,Ilya Sutskever
Inside view,Ajeya Cotra,Buck Shlegeris
Inside view,Ajeya Cotra,Daniel Kokotajlo
Inside view,Ajeya Cotra,Eliezer Yudkowsky
Inside view,Ajeya Cotra,Metaculus
Inside view,Ajeya Cotra,Metaculus
Inside view,Ajeya Cotra,Rohin Shah
Inside view,Ajeya Cotra,Siméon Campos
Inside view,Ajeya Cotra,
Inside view,Ajeya Cotra,Paul Christiano
Inside view,Daniel Kokotajlo,Ajeya Cotra
Inside view,Daniel Kokotajlo,Ajeya Cotra
Inside view,Vague group of AI x-risk folk,Daniel Kokotajlo
Inside view,Jan Kulveit,MIRI
Inside view,MIRI,DeepMind
Inside view,nostalgebraist (LessWrong),
Inside view,Oliver Habryka,Eliezer Yudkowsky
Inside view,Paul Christiano,Bioanchors
Inside view,Paul Christiano,Buck Shlegeris
Inside view,Paul Christiano,
Inside view,,
Inside view,,
Inside view,,
Inside view,,
Inside view,,
Inside view,,
Metaculus,,Inside view
Inside view,Eliezer Yudkowsky,
Nick Bostrom,Gary Marcus,Eliezer Yudkowsky
,,Inside view
Tom Davidson and Ajeya Cotra,Inside view,Metaculus
Paul Christiano,Daniel Kokotajlo,
Paul Christiano,Jared Kaplan,Inside view
Paul Christiano,Inside view,
Bioanchors,Inside view,Tom Davidson
Robert Miles,Ajeya Cotra,
Robin Hanson,Katja Grace,
Samotsvety,Paul Christiano,Neel Nanda
MIRI,Inside view,
Grace et al. AI expert survey,Ajeya Cotra,Miles Brundage
