Who do you defer to most on AI timelines?,Who do you defer to second-most on AI timelines?,Who do you defer to third-most on AI timelines?
g,g,i
i,i,
i,i,i
i,i,i
i,i,i
i,i,i
i,i,
i,i,
i,i,
i,i,
i,i,i
i,i,i
i,i,
i,i,i
i,i,i
i,i,i
i,i,i
i,i,i
i,i,g
i,i,i
i,i,i
i,i,i
i,o,i
i,i,i
i,o,
i,i,i
g,,
o,i,i
i,i,g
i,i,i
i,i,i
g,i,i
i,i,i
i,i,i
i,i,i
i,i,i
i,i,i
i,i,i
i,i,i
i,i,i
i,i,g
g,i,i
,i,
,,
g,i,o
g,i,o
g,,
i,i,i
i,i,o
i,i,i
i,i,i
i,i,i
i,i,i
i,i,i
i,i,o
i,i,o
i,i,i
i,i,i
i,i,
i,i,i
i,i,i
i,i,i
i,g,i
i,i,o
i,o,o
i,i,
i,i,i
i,i,g
i,i,i
i,i,
i,,
i,,
i,,
i,,
i,,
i,,
o,g,i
i,i,
i,i,i
,g,i
o,i,o
i,i,
i,i,i
i,i,
i,i,i
i,i,
i,i,
o,i,i
o,i,
g,i,i
